,地區,大廈名單,報告日期/曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
0,觀塘,秀茂坪南邨秀旺樓,4910,
1,油尖旺,廟街 15號,4912,
2,元朗,天慈邨慈屏樓,4914,
3,油尖旺,廟街 15號,4918,
4,西貢,康盛花園 5座,4922,
5,深水埗,泓景臺 3期 5座,4924,
6,油尖旺,通菜街 199號,4926,
7,屯門,友愛邨愛廉樓低座,4927,
8,觀塘,油麗邨雅麗樓,4928,
9,觀塘,油麗邨雅麗樓,4933,
10,觀塘,油麗邨雅麗樓,4934,
11,東區,香港維港凱悅尚萃酒店,4934,
12,觀塘,油麗邨雅麗樓,4935,
13,沙田,豐盛苑榮盛閣,4936,
14,葵青,浩景臺 4座,4937,
15,黃大仙,樂富邨樂民樓,4938,
16,油尖旺,官涌大樓,4939,
17,油尖旺,旺角維景酒店,4940,
18,油尖旺,廟街 15號,4941,
19,屯門,大興邨興泰樓,4942,
20,葵青,浩景臺 4座,4944,
21,葵青,浩景臺 4座,4945,
22,屯門,山景邨景榮樓,4946,
23,葵青,荔景紀律部隊宿舍二座,4947,
24,屯門,友愛邨愛廉樓低座,4948,
25,深水埗,麗翠苑麗柏閣,4956,
26,深水埗,幸福邨福明樓,4957,
27,屯門,山景邨景榮樓,4958,
28,深水埗,昇悅居 7座,4959,
29,深水埗,昇悅居 7座,4960,
30,屯門,山景邨景榮樓,4962,
31,油尖旺,香港九龍諾富特酒店,4963,
32,油尖旺,官涌大樓,4964,
33,黃大仙,樂富邨樂民樓,4965,
34,屯門,友愛邨愛廉樓低座,4966,
35,九龍城,德威大廈 2期,4967,
36,屯門,友愛邨愛暉樓 1座,4968,
37,屯門,友愛邨愛暉樓 1座,4969,
38,屯門,三聖邨滿漁樓,4970,
39,元朗,洪水橋石埗村,4971,
40,屯門,兆禧苑樂禧閣,4972,
41,深水埗,石硤尾邨美賢樓,4977,
42,屯門,兆禧苑樂禧閣,4979,
43,南區,如心南灣海景酒店,4980,
44,屯門,兆禧苑樂禧閣,4981,
45,深水埗,昇悅居 7座,4982,
46,深水埗,麗翠苑麗柏閣,4983,
47,油尖旺,香港九龍諾富特酒店,4984,
48,元朗,天慈邨慈屏樓,4988,
49,觀塘,油塘邨美塘樓,4989,
50,黃大仙,樂富邨樂民樓,4990,
51,油尖旺,砵蘭街 300號,4992,
52,深水埗,石硤尾邨美賢樓,4993,
53,屯門,大興邨興輝樓,4994,
54,觀塘,油塘邨美塘樓,4995,
55,油尖旺,砵蘭街 300號,4996,
56,大埔,船灣詹屋村,4997,
57,沙田,海典居 7座,5001,
58,屯門,友愛邨愛曦樓低座,5002,
59,中西區,永成樓,5003,
60,東區,華美達盛景酒店,5006,
61,油尖旺,華美達華麗酒店,5007,
62,屯門,富泰邨仁泰樓,5008,
63,深水埗,石硤尾邨美賢樓,5021,
64,深水埗,石硤尾邨美賢樓,5022,
65,油尖旺,砵蘭街 300號,5023,
66,油尖旺,砵蘭街 300號,5024,
67,九龍城,富豪東方酒店,5027,
68,九龍城,富豪東方酒店,5028,
69,九龍城,富豪東方酒店,5029,
70,九龍城,富豪東方酒店,5030,
71,油尖旺,最佳盛品酒店尖沙咀,5031,
72,油尖旺,最佳盛品酒店尖沙咀,5032,
73,油尖旺,最佳盛品酒店尖沙咀,5033,
74,元朗,天晴邨晴海樓,5035,
75,灣仔,頤庭酒店銅鑼灣,5037,
76,屯門,友愛邨愛曦樓,5038,
77,灣仔,華麗銅鑼灣酒店,5039,
78,屯門,海麗花園 1座,5041,
79,黃大仙區,樂富邨樂民樓,5042,
80,九龍城,福年新樓 A座,5043,
81,東區,華美達盛景酒店,5044,
82,東區,華美達盛景酒店,5045,
83,東區,華美達盛景酒店,5046,
84,中西區,華美達海景酒店,5047,
85,離島,香港天際萬豪酒店,5048,
86,屯門,建生邨泰生樓,5049,
87,九龍城,福年新樓 A座,5050,
88,離島,香港天際萬豪酒店,5051,
89,灣仔,灣仔帝盛酒店,5052,
90,灣仔,灣仔帝盛酒店,5053,
91,油尖旺,香港海景絲麗酒店,5054,
92,元朗,嘉湖山莊景湖居 7座,5056,
93,屯門,建生邨泰生樓,5057,
94,西貢,TKO Spot,"1596, 1861, 1983, 2066, 2473, 2608, 3787, 4201, 4761, 4762, 4763",27/08/2020
95,葵青,港鐵葵芳站,"4416, 4460, 4480, 4786",27/08/2020
96,觀塘,彩德商場,"4764, 4771",27/08/2020
97,觀塘,牛頭角下邨廣場,"4776, 4785, 4812",27/08/2020
