,地區,大廈名單,報告日期/曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
0,深水埗,石硤尾邨美賢樓,5021,
1,深水埗,石硤尾邨美賢樓,5022,
2,油尖旺,砵蘭街 300號,5023,
3,油尖旺,砵蘭街 300號,5024,
4,九龍城,富豪東方酒店,5027,
5,九龍城,富豪東方酒店,5028,
6,九龍城,富豪東方酒店,5029,
7,九龍城,富豪東方酒店,5030,
8,油尖旺,最佳盛品酒店尖沙咀,5031,
9,油尖旺,最佳盛品酒店尖沙咀,5032,
10,油尖旺,最佳盛品酒店尖沙咀,5033,
11,元朗,天晴邨晴海樓,5035,
12,灣仔,頤庭酒店銅鑼灣,5037,
13,屯門,友愛邨愛曦樓,5038,
14,灣仔,華麗銅鑼灣酒店,5039,
15,屯門,海麗花園 1座,5041,
16,黃大仙,樂富邨樂民樓,5042,
17,九龍城,福年新樓 A座,5043,
18,東區,華美達盛景酒店,5044,
19,東區,華美達盛景酒店,5045,
20,東區,華美達盛景酒店,5046,
21,中西區,華美達海景酒店,5047,
22,離島,香港天際萬豪酒店,5048,
23,屯門,建生邨泰生樓,5049,
24,九龍城,福年新樓 A座,5050,
25,離島,香港天際萬豪酒店,5051,
26,灣仔,灣仔帝盛酒店,5052,
27,灣仔,灣仔帝盛酒店,5053,
28,油尖旺,香港海景絲麗酒店,5054,
29,元朗,嘉湖山莊景湖居 7座,5056,
30,屯門,建生邨泰生樓,5057,
31,離島,香港天際萬豪酒店,5060,
32,葵青,香港帝盛酒店,5062,
33,中西區,太慶大廈,5063,
34,深水埗,恆昌樓,5064,
35,油尖旺,帝樂文娜公館,5066,
36,九龍城,鴻興閣,5071,
37,沙田,錦龍苑龍耀閣,5072,
38,灣仔,灣仔帝盛酒店,5076,
39,油尖旺,最佳盛品酒店尖沙咀,5079,
40,油尖旺,最佳盛品酒店尖沙咀,5080,
41,油尖旺,香港九龍諾富特酒店,5081,
42,離島,香港天際萬豪酒店,5082,
43,元朗,鳳翔大廈,5083,
44,油尖旺,都會海逸酒店,5084,
45,油尖旺,香港海景絲麗酒店,5085,
46,油尖旺,最佳盛品酒店尖沙咀,5086,
47,中西區,普慶閣,5095,
48,油尖旺,維港灣酒店,5096,
49,油尖旺,帝峯‧皇殿 2座,5097,
50,油尖旺,福僑大廈,5098,
51,觀塘,觀塘帝盛酒店,5098,
52,觀塘,悦品海景酒店,5098,
53,離島,香港天際萬豪酒店,5099,
54,灣仔,光裕樓,5102,
55,油尖旺,位元樓,5104,
56,東區,華美達盛景酒店,5105,
57,沙田,翠嶺山莊 2座,5107,
58,油尖旺,尖沙咀最佳盛品酒店,5110,
59,油尖旺,立德大樓,5110,
60,葵青,長宏邨宏勇樓,5111,
61,沙田,沙田翠嶺山莊 2座,5112,
62,離島,香港天際萬豪酒店,5113,
63,油尖旺,君怡酒店,5114,
64,深水埗,福華街 55號 萬發海鮮菜館,"4938, 4946",06/09/2020
65,深水埗,長沙灣廣場,"4945, 4960",08/09/2020
66,油尖旺,華源工廠大廈,"4185, 4294, 4710, 4918, 4939, 4941",09/09/2020
67,荃灣,恆生荃灣大廈,"4938, 4965",09/09/2020
68,觀塘,鯉魚門市政大廈,"2634, 2647, 2656, 3908, 4800, 4928",10/09/2020
69,深水埗,元州商場,"4498, 4586, 4957",11/09/2020
70,九龍城,窩打老道 75號,"4956, 4967",11/09/2020
71,深水埗,保安道市政大廈,"2234, 2410, 2728, 2924, 3351, 3831, 3992, 4115, 4226, 4291, 4840, 4983",12/09/2020
72,屯門,愛定商場 都城餐廳,"4968, 4969, 4972",13/09/2020
73,油尖旺,朗豪坊,"1297, 1641, 2008, 2186, 3296, 3369, 3386, 3826, 4447, 4573, 4841, 4996",14/09/2020
74,沙田,交通城大廈,"4824, 4854, 4881, 4884, 4888, 4892, 4977",15/09/2020
75,屯門,愛定商場,"4820, 4894, 4927, 4948, 4968, 4969, 5002",16/09/2020
76,荃灣,嘉民國際訊通中心,"4933, 5008, 5059",18/09/2020
77,元朗,天瑞商場,5056,20/09/2020
78,屯門,新墟街市,5049,21/09/2020
79,九龍城,寶新大廈,5050,21/09/2020
80,屯門,屯門鄉事會路 113號,"5049, 5057",21/09/2020
81,九龍城,侯王道 39-43號,"4938, 4965, 5098",28/09/2020
82,中西區,國際金融中心商場 無二,5102,29/09/2020
83,西貢,香港專業教育學院 (李惠利),5107,29/09/2020
84,葵青,長發廣場,5111,29/09/2020
85,葵青,青衣城,5111,29/09/2020
