,地區,大廈名單,報告日期/曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
0,油尖旺,最佳盛品酒店尖沙咀,5250,
1,中西區,雍慧閣,5251,
2,離島,大灣南,5252,
3,離島,香港天際萬豪酒店,5253,
4,油尖旺,香港九龍諾富特酒店,5254,
5,油尖旺,最佳盛品酒店尖沙咀,5256,
6,油尖旺,香港康得思酒店,5257,
7,油尖旺,華美達華麗酒店,5258,
8,東區,嘉亨灣 1座,5259,
9,中西區,上環奧華·時尚精品酒店,5260,
10,離島,香港天際萬豪酒店,5261,
11,離島,富豪機場酒店,5263,
12,灣仔,銅鑼灣迷你酒店,5269,
13,中西區,宏基國際賓館,5270,
14,葵青,荃灣帝盛酒店,5279,
15,離島,映灣園聽濤軒 15座,5281,
16,葵青,荃灣帝盛酒店,5282,
17,離島,大灣南,5283,
18,油尖旺,最佳盛品酒店尖沙咀,5285,
19,東區,南豐新邨 9座,5288,
20,油尖旺,華美達華麗酒店,5289,
21,中西區,香港萬怡酒店,5290,
22,離島,香港愉景灣酒店,5292,
23,西貢,富康花園 9座,5293,
24,油尖旺,香港海景絲麗酒店,5294,
25,葵青,荃灣帝盛酒店,5297,
26,東區,華美達盛景酒店,5303,
27,東區,華美達盛景酒店,5304,
28,荃灣,香港荃灣絲麗酒店,5310,
29,九龍城,樂民新村樂智樓,5312,
30,南區,Kaza - Stanley,5313,
31,中西區,華美達海景酒店,5314,
32,灣仔,銅鑼灣利景酒店,5315,
33,油尖旺,最佳盛品酒店尖沙咀,5316,
34,中西區,華美達海景酒店,5317,
35,油尖旺,華美達華麗酒店,5318,
36,東區,清華街 10-16號,5321,
37,灣仔,銅鑼灣利景酒店,5326,
38,離島,諾富特東薈城酒店,5328,
39,油尖旺,東方泛達酒店,5331,
40,離島,海景渡假樂園,5332,
41,大埔,圍頭村,5332,
42,大埔,廣褔邨廣義樓,5336,
43,大埔,圍頭村,5337,
44,屯門,愛定商場,"4820, 4894, 4927, 4948, 4968, 4969, 5002, 5164",05/10/2020
45,灣仔,養和醫院,"5135, 5136, 5137, 5166",07/10/2020
46,油尖旺,香港帝苑酒店,"5170, 5240",08/10/2020
47,西貢,裕明苑裕昌閣,"5200, 5206",09/10/2020
48,西貢,寶盈花園地下 12號舖,"5200, 5206",10/10/2020
49,屯門,恆福商場,5281,19/10/2020
50,屯門,青海圍 8號 A1 & A2 東哥點心火鍋第六分店,5281,20/10/2020
51,屯門,新墟街市,5281,20/10/2020
52,離島,逸東商場一期 譚仔三 哥米線,5281,21/10/2020
53,中西區,皇后大道中 340號,5293,21/10/2020
54,油尖旺,萬利商業大廈,5288,22/10/2020
55,九龍城,松亭閣,5288,22/10/2020
56,中西區,兆英商業大廈,"5293, 5312",23/10/2020
57,灣仔,港灣道體育館,5321,23/10/2020
58,東區,新都城大廈 富臨皇宮 (北角店),5321,24/10/2020
59,灣仔,灣仔道 203號 新森林 焗の專門店,5312,27/10/2020
60,觀塘,啟業商場熟食亭 德源 極上串王,5321,28/10/2020
61,南區,香葉道 1號,5332,28/10/2020
62,大埔,中嘉閣,5332,28/10/2020
63,中西區,信德中心西座,5321,29/10/2020
64,北區,囍逸 譚仔雲南米線,5337,29/10/2020
65,大埔,昌運中心商場 大榮樺,5336,29/10/2020
66,大埔,廣福邨廣福商場 大家 樂,5336,30/10/2020
67,北區,聯興街 3號 台茶店,5337,30/10/2020
68,大埔,美菱居 旭川居食屋,5336,30/10/2020
69,油尖旺,旺角警署,5331,30/10/2020
70,大埔,汀角路 同信士多,5337,30/10/2020
71,黃大仙,聯合道 182-188號 食 棧,5337,31/10/2020
72,大埔,廣福道 88號 三不館車 仔麵,5336,31/10/2020
