,地區,大廈名單,報告日期/曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
0,油尖旺,最佳盛品酒店尖沙咀,5110,
1,油尖旺,立德大樓,5110,
2,葵青,長宏邨宏勇樓,5111,
3,沙田,翠嶺山莊 2座,5112,
4,離島,香港天際萬豪酒店,5113,
5,油尖旺,君怡酒店,5114,
6,葵青,藍澄灣 5座,5122,
7,油尖旺,豪麗大廈,5123,
8,油尖旺,香港仕德福山景酒店,5123,
9,油尖旺,立德大樓,5124,
10,油尖旺,立德大樓,5125,
11,東區,富家閣,5126,
12,油尖旺,君怡酒店,5130,
13,油尖旺,豪麗大廈,5130,
14,油尖旺,砵蘭街 177A號,5131,
15,灣仔,快添大廈,5132,
16,屯門,龍門居 15座,5133,
17,觀塘,油翠苑泳美閣,5135,
18,油尖旺,駿發花園 3座,5136,
19,屯門,寶田邨 6座,5137,
20,葵青,國寶之家,5140,
21,油尖旺,帝苑酒店,5141,
22,西貢,健明邨健晴樓,5143,
23,西貢,健明邨健晴樓,5144,
24,離島,富豪機場酒店,5145,
25,黃大仙,康強苑,5148,
26,葵青,國寶之家,5149,
27,西貢,健明邨健晴樓,5150,
28,葵青,國寶之家,5151,
29,葵青,國寶之家,5152,
30,葵青,國寶之家,5153,
31,葵青,國寶之家,5154,
32,葵青,國寶之家,5155,
33,葵青,國寶之家,5156,
34,葵青,國寶之家,5157,
35,葵青,國寶之家,5158,
36,葵青,國寶之家,5159,
37,葵青,國寶之家,5160,
38,東區,賽西湖大廈 6座,5161,
39,離島,映灣園 3期悅濤軒 9座,5163,
40,屯門,安定邨定龍樓,5164,
41,油尖旺,駿發花園 3座,5165,
42,深水埗,基隆街 108號,5166,
43,大埔,新峰花園 15座,5169,
44,觀塘,秀茂坪邨秀逸樓,5170,
45,葵青,國寶之家,5174,
46,深水埗,明德大廈,5175,
47,離島,映灣園 3期悅濤軒 9座,5176,
48,葵青,國寶之家,5179,
49,葵青,國寶之家,5180,
50,油尖旺,華美達華麗酒店,5182,
51,東區,北角 M1酒店,5183,
52,九龍城,九龍海逸君綽酒店,5184,
53,葵青,國寶之家,5185,
54,深水埗,蘇屋邨彩雀樓,5186,
55,葵青,國寶之家,5187,
56,離島,愉景灣 4期蘅峯倚濤軒,5189,
57,西貢,日出康城 2B期領峯 8座 R,5190,
58,離島,愉景灣 4期蘅峯倚濤軒,5191,
59,北區,天平邨天喜樓,5193,
60,荃灣,悅來酒店,5193,
61,西貢,天晉第 8座,5195,
62,九龍城,九龍海逸君綽酒店,5197,
63,荃灣,香港遠東絲麗酒店,5198,
64,觀塘,碧麗苑 A座,5199,
65,西貢,天晉第 8座,5200,
66,荃灣,友聯大廈,5201,
67,灣仔,灣仔帝盛酒店,5202,
68,離島,藍天海岸 1期 2座,5205,
69,西貢,天晉 8座,5206,
70,西貢,飛鵝花園,5207,
71,灣仔,華麗銅鑼灣酒店,5208,
72,油尖旺,華美達華麗酒店,5209,
73,油尖旺,最佳盛品酒店尖沙咀,5213,
74,油尖旺,華美達華麗酒店,5214,
75,灣仔,頤庭酒店銅鑼灣,5215,
76,西貢,景林邨景榆樓,5216,
77,南區,薄扶林花園 6座,5217,
78,油尖旺,帝樂文娜公館,5218,
79,離島,富豪機場酒店,5231,
80,油尖旺,帝樂文娜公館,5234,
81,油尖旺,帝樂文娜公館,5235,
82,九龍城,海灣軒海景酒店,5236,
83,油尖旺,最佳盛品酒店尖沙咀,5242,
84,屯門,屯門鄉事會路 113號,"5049, 5057",21/09/2020
85,油尖旺,利就商業大廈 China Secret,"5098, 5107, 5141, 5148, 5175",23/09/2020
86,九龍城,侯王道 39-43號,"4938, 4965, 5098",28/09/2020
87,油尖旺,港威酒店,"5164, 5175, 5193, 5201",28/09/2020
88,油尖旺,華懋金馬倫中心 Virgo Bar & Restaurant,"5148, 5175",01/10/2020
89,觀塘,鯉魚門市政大廈,"2634, 2647, 2656, 3908, 4800, 4928, 5135",02/10/2020
90,屯門,金銘大廈 金銘潮州粉麵,5133,04/10/2020
91,屯門,龍門居 雲貴軒米線專門店,5133,04/10/2020
92,油尖旺,西洋菜南街 158號,5135,04/10/2020
93,油尖旺,豉油街 27號 B及 C,5136,04/10/2020
94,葵青,石蔭商場 麥當勞,5149,04/10/2020
