,地區,大廈名單,報告日期/曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
0,九龍城,樂民新村樂智樓,5312,
1,南區,Kaza - Stanley,5313,
2,中西區,華美達海景酒店,5314,
3,灣仔,銅鑼灣利景酒店,5315,
4,油尖旺,最佳盛品酒店尖沙咀,5316,
5,中西區,華美達海景酒店,5317,
6,油尖旺,華美達華麗酒店,5318,
7,東區,清華街 10-16號,5321,
8,灣仔,銅鑼灣利景酒店,5326,
9,離島,諾富特東薈城酒店,5328,
10,沙田,啟源樓,5331,
11,油尖旺,東方泛達酒店,5331,
12,離島,海景渡假樂園,5332,
13,大埔,大埔圍頭村,5332,
14,大埔,廣褔邨廣義樓,5336,
15,大埔,圍頭村,5337,
16,大埔,富善邨善鄰樓,5338,
17,東區,港島海逸君綽酒店,5340,
18,東區,港島海逸君綽酒店,5341,
19,大埔,圍頭村,5342,
20,灣仔,人和悅大廈,5343,
21,油尖旺,香港海景絲麗酒店,5344,
22,油尖旺,華美達華麗酒店,5345,
23,大埔,廣褔邨廣祐樓,5347,
24,大埔,富善邨善鄰樓,5348,
25,離島,諾富特東薈城酒店,5352,
26,元朗,水流田村,5354,
27,油尖旺,香港九龍諾富特酒店,5356,
28,離島,富豪機場酒店,5361,
29,九龍城,奧斯酒店,5362,
30,大埔,廣褔邨廣平樓,5365,
31,九龍城,巴豪苑,5367,
32,九龍城,巴豪苑,5371,
33,離島,愉景灣倚濤軒,5372,
34,元朗,翠苑,5373,
35,大埔,寶雅苑興和閣,5375,
36,油尖旺,香港九龍諾富特酒店,5376,
37,離島,昇薈 3座,5377,
38,油尖旺,九龍香格里拉大酒店,5379,
39,離島,香港天際萬豪酒店,5380,
40,大埔,寶雅苑興和閣,5382,
41,沙田,金獅花園 2期金寧閣,5384,
42,離島,東涌昇薈 3座,5388,
43,離島,東涌昇薈 3座,5389,
44,離島,東涌昇薈 3座,5390,
45,葵青,葵盛西邨 9座,5391,
46,離島,香港天際萬豪酒店,5393,
47,離島,逸泰居,5396,
48,屯門,屯門鄉事會路 18號明偉大樓,5398,
49,荃灣,全.城滙第 7座,5399,
50,九龍城,都會軒 1座,5405,
51,油尖旺,君怡酒店,5408,
52,深水埗,海麗邨海暉樓,5409,
53,元朗,壆圍村,5417,
54,沙田,銀禧花園第 6座,5418,
55,中西區,西營盤翠景閣,5419,
56,北區,安盛苑,5420,
57,中西區,ONE · EIGHT · ONE酒店,5421,
58,離島,香港天際萬豪酒店,5425,
59,灣仔,香港銅鑼灣皇冠假日酒店,5426,
60,荃灣,豪景花園八座,5427,
61,灣仔,香港萬麗海景酒店,5429,
62,中西區,兆英商業大廈,"5293, 5312",23/10/2020
63,中西區,信德中心西座,5321,29/10/2020
64,大埔,昌運中心商場 大榮樺,5336,29/10/2020
65,北區,囍逸 譚仔雲南米線,5337,29/10/2020
66,中西區,花園道 3號,5343,29/10/2020
67,大埔,大埔廣場 萬利小食店,5347,29/10/2020
68,沙田,馬鞍山遊樂場,5354,29/10/2020
69,大埔,崇德街 8號 A Inn Club,5365,29/10/2020
70,灣仔,軒尼詩道 163號,5375,29/10/2020
71,油尖旺,旺角警署,5331,30/10/2020
72,大埔,廣福邨廣福商場 大家 樂,5336,30/10/2020
73,大埔,美菱居 旭川居食屋,5336,30/10/2020
74,北區,聯興街 3號 台茶店,5337,30/10/2020
75,大埔,汀角路 同信士多,5337,30/10/2020
76,葵青,香港專業教育學院 (青衣),5342,30/10/2020
77,大埔,廣福道 88號 三不館車 仔麵,5336,31/10/2020
78,黃大仙,聯合道 182-188號 食 棧,5337,31/10/2020
79,元朗,天水圍社區運動場,5354,31/10/2020
80,元朗,欖口村欖堤東路,5354,31/10/2020
81,沙田,賽馬會傑志中心,5354,31/10/2020
82,南區,香葉道 1號,"5332, 5342",31/10/2020
83,灣仔,珍慶樓 麥當勞,5343,01/11/2020
84,沙田,新城市廣場,5375,01/11/2020
85,元朗,安寧路 112A號,5354,02/11/2020
86,黃大仙,樂富廣場 丸亀製麵,5398,03/11/2020
87,九龍城,浸會大學,5398,03/11/2020
88,中西區,統一中心,5417,03/11/2020
89,黃大仙,摩士公園足球場,5354,04/11/2020
90,大埔,永發樓 德美壽司,5365,04/11/2020
91,九龍城,新山道 6號 譽麵坊,5398,04/11/2020
92,南區,香葉道 2號 跆拳道青 道館,5398,04/11/2020
93,屯門,麗寶商場,5398,04/11/2020
94,大埔,鄉事會街 13號 華輝餐 廳,5365,05/11/2020
95,九龍城,又一城 温野菜,5382,05/11/2020
96,九龍城,教育局九龍塘教育服務 中心,5382,05/11/2020
97,油尖旺,富榮花園 17座,5382,05/11/2020
98,東區,香港維港凱悅尚萃酒店,5398,05/11/2020
99,深水埗,北河街體育館,5398,05/11/2020
100,油尖旺,旺角中心 1期,5398,05/11/2020
101,西貢,大網仔路 海灣吧,5399,05/11/2020
102,九龍城,城南道 創發潮州飯店,5399,05/11/2020
103,沙田,沙田娛樂城 扒王之王,5382,06/11/2020
104,灣仔,建利大廈,5384,06/11/2020
105,荃灣,荃新天地 米線陣,5399,06/11/2020
106,荃灣,荃新天地麥奀 雲吞麵 世家,5399,06/11/2020
107,荃灣,荃灣廣場 鴻星中菜,5399,06/11/2020
108,灣仔,光大中心,"5375, 5384",06/11/2020
109,沙田,新城市廣場一期 三星 台菜食堂,"5375, 5382",06/11/2020
110,離島,東薈城,"5388, 5389",06/11/2020
111,灣仔,海華大廈,5371,07/11/2020
112,中西區,香港大學莊月明文娛中 心 Café 330,5382,07/11/2020
113,中西區,香港大學明華綜合大樓,5382,07/11/2020
114,沙田,M.C. BOX 隆亨市集,5384,07/11/2020
115,離島,迪欣湖兒童遊樂場,5388,07/11/2020
116,屯門,麗日閣地下,5398,07/11/2020
117,九龍城,嘉福閣 德昌魚蛋粉,"5367, 5371",07/11/2020
118,沙田,聖公會主風小學,"5375, 5382",07/11/2020
119,油尖旺,大角咀埃華街 85-87號 金沙茶餐廳,5427,07/11/2020
120,油尖旺,西九匯,5427,07/11/2020
121,油尖旺,MOKO 新世紀廣場 百樂 潮州酒樓,5419,07/11/2020
122,中西區,薄扶林道 22-32號 鴻 興茶餐廳,5419,07/11/2020
123,灣仔,莊士敦道 178-186號 McDonald's,5384,08/11/2020
124,油尖旺,胡社生行 金苑酒家,5391,08/11/2020
125,油尖旺,朗豪坊 麥當勞,5391,08/11/2020
126,屯門,明藝街 8號 妙法齋,5398,08/11/2020
127,油尖旺,太子道西 141號 元朗 冰室,5427,08/11/2020
128,沙田,禾輋邨 民禾樓,5418,08/11/2020
129,沙田,京瑞廣場一期 狀元橋 米線,5399,09/11/2020
130,沙田,京瑞廣場一期 麗島小 廚,5399,09/11/2020
131,沙田,京瑞廣場一期 台豐台 灣美食,5399,09/11/2020
132,荃灣,如心海景酒店 如粵滬 中菜廳,5399,09/11/2020
133,屯門,啟豐商場 小桃園餐廳 小廚,5427,09/11/2020
